text,label
Makanannya enak dan pelayanannya sangat ramah ,positif
Restoran ini bersih dan nyaman untuk keluarga ,positif
Harga sesuai dengan kualitas makanan yang disajikan ,positif
Pesanan datang cepat dan rasanya lezat ,positif
Saya sangat puas dengan pelayanan di restoran ini ,positif
Tempatnya luas dan suasananya menyenangkan ,positif
Menu yang ditawarkan beragam dan semuanya enak ,positif
Pelayan sangat membantu saat memilih menu ,positif
Makanan disajikan hangat dan segar ,positif
Saya pasti akan kembali makan di sini ,positif
Makanannya enak dan pelayanannya sangat ramah ,positif
Restoran ini bersih dan nyaman untuk keluarga ,positif
Harga sesuai dengan kualitas makanan yang disajikan ,positif
Pesanan datang cepat dan rasanya lezat ,positif
Saya sangat puas dengan pelayanan di restoran ini ,positif
Tempatnya luas dan suasananya menyenangkan ,positif
Menu yang ditawarkan beragam dan semuanya enak ,positif
Pelayan sangat membantu saat memilih menu ,positif
Makanan disajikan hangat dan segar ,positif
Saya pasti akan kembali makan di sini ,positif
Makanannya enak dan pelayanannya sangat ramah ,positif
Restoran ini bersih dan nyaman untuk keluarga ,positif
Harga sesuai dengan kualitas makanan yang disajikan ,positif
Pesanan datang cepat dan rasanya lezat ,positif
Saya sangat puas dengan pelayanan di restoran ini ,positif
Tempatnya luas dan suasananya menyenangkan ,positif
Menu yang ditawarkan beragam dan semuanya enak ,positif
Pelayan sangat membantu saat memilih menu ,positif
Makanan disajikan hangat dan segar ,positif
Saya pasti akan kembali makan di sini ,positif
Makanannya enak dan pelayanannya sangat ramah ,positif
Restoran ini bersih dan nyaman untuk keluarga ,positif
Harga sesuai dengan kualitas makanan yang disajikan ,positif
Pesanan datang cepat dan rasanya lezat ,positif
Saya sangat puas dengan pelayanan di restoran ini ,positif
Tempatnya luas dan suasananya menyenangkan ,positif
Menu yang ditawarkan beragam dan semuanya enak ,positif
Pelayan sangat membantu saat memilih menu ,positif
Makanan disajikan hangat dan segar ,positif
Saya pasti akan kembali makan di sini ,positif
Makanannya enak dan pelayanannya sangat ramah ,positif
Restoran ini bersih dan nyaman untuk keluarga ,positif
Harga sesuai dengan kualitas makanan yang disajikan ,positif
Pesanan datang cepat dan rasanya lezat ,positif
Saya sangat puas dengan pelayanan di restoran ini ,positif
Tempatnya luas dan suasananya menyenangkan ,positif
Menu yang ditawarkan beragam dan semuanya enak ,positif
Pelayan sangat membantu saat memilih menu ,positif
Makanan disajikan hangat dan segar ,positif
Saya pasti akan kembali makan di sini ,positif
Rasa makanannya biasa saja dan kurang berkesan ,negatif
Pelayanannya lambat meskipun restoran tidak ramai ,negatif
Makanan datang dalam keadaan dingin ,negatif
Harga terlalu mahal untuk porsi yang diberikan ,negatif
Tempatnya kurang bersih dan banyak sampah ,negatif
Pesanan saya salah dan tidak segera diganti ,negatif
Pelayan terlihat tidak ramah kepada pelanggan ,negatif
Rasa makanan tidak sesuai dengan yang diharapkan ,negatif
Saya menunggu sangat lama untuk mendapatkan pesanan ,negatif
Pengalaman makan di sini sangat mengecewakan ,negatif
Rasa makanannya biasa saja dan kurang berkesan ,negatif
Pelayanannya lambat meskipun restoran tidak ramai ,negatif
Makanan datang dalam keadaan dingin ,negatif
Harga terlalu mahal untuk porsi yang diberikan ,negatif
Tempatnya kurang bersih dan banyak sampah ,negatif
Pesanan saya salah dan tidak segera diganti ,negatif
Pelayan terlihat tidak ramah kepada pelanggan ,negatif
Rasa makanan tidak sesuai dengan yang diharapkan ,negatif
Saya menunggu sangat lama untuk mendapatkan pesanan ,negatif
Pengalaman makan di sini sangat mengecewakan ,negatif
Rasa makanannya biasa saja dan kurang berkesan ,negatif
Pelayanannya lambat meskipun restoran tidak ramai ,negatif
Makanan datang dalam keadaan dingin ,negatif
Harga terlalu mahal untuk porsi yang diberikan ,negatif
Tempatnya kurang bersih dan banyak sampah ,negatif
Pesanan saya salah dan tidak segera diganti ,negatif
Pelayan terlihat tidak ramah kepada pelanggan ,negatif
Rasa makanan tidak sesuai dengan yang diharapkan ,negatif
Saya menunggu sangat lama untuk mendapatkan pesanan ,negatif
Pengalaman makan di sini sangat mengecewakan ,negatif
Rasa makanannya biasa saja dan kurang berkesan ,negatif
Pelayanannya lambat meskipun restoran tidak ramai ,negatif
Makanan datang dalam keadaan dingin ,negatif
Harga terlalu mahal untuk porsi yang diberikan ,negatif
Tempatnya kurang bersih dan banyak sampah ,negatif
Pesanan saya salah dan tidak segera diganti ,negatif
Pelayan terlihat tidak ramah kepada pelanggan ,negatif
Rasa makanan tidak sesuai dengan yang diharapkan ,negatif
Saya menunggu sangat lama untuk mendapatkan pesanan ,negatif
Pengalaman makan di sini sangat mengecewakan ,negatif
Rasa makanannya biasa saja dan kurang berkesan ,negatif
Pelayanannya lambat meskipun restoran tidak ramai ,negatif
Makanan datang dalam keadaan dingin ,negatif
Harga terlalu mahal untuk porsi yang diberikan ,negatif
Tempatnya kurang bersih dan banyak sampah ,negatif
Pesanan saya salah dan tidak segera diganti ,negatif
Pelayan terlihat tidak ramah kepada pelanggan ,negatif
Rasa makanan tidak sesuai dengan yang diharapkan ,negatif
Saya menunggu sangat lama untuk mendapatkan pesanan ,negatif
Pengalaman makan di sini sangat mengecewakan ,negatif
